processing_id,waste_classification_id,processing_method,processing_description,cost,created_at,updated_at
507,2,"Mechanical Recycling","Paper and cardboard recycled into sheets",32.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
508,3,"Chemical Treatment","Industrial sludge neutralized",235.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
509,4,Composting,"Organic waste converted into nutrient compost",59.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
510,5,Recycling,"Plastic bottles shredded and reused",40.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
511,6,Incineration,"Biomedical waste safely incinerated",185.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
512,7,Landfill,"Bulky non-recyclable waste deposited",49.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
513,8,"Anaerobic Digestion","Food waste converted to biogas",92.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
514,9,Shredding,"Old electronics shredded for recovery",75.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
515,10,Pyrolysis,"Rubber and plastics converted to fuel",140.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
516,1,Composting,"Organic market waste converted into compost",53.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
517,2,Recycling,"Plastic packaging recycled into reusable material",37.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
518,3,Incineration,"Hazardous waste safely incinerated",155.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
519,4,Landfill,"Non-recyclable waste deposited in landfill",23.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
520,5,"Anaerobic Digestion","Farm waste processed to biogas",83.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
521,6,Shredding,"Electronic waste shredded for metal recovery",67.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
522,7,Pyrolysis,"Plastic and rubber converted into fuel",133.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
523,8,"Mechanical Recycling","Paper and cardboard recycled mechanically",30.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
524,9,"Chemical Treatment","Industrial waste treated chemically",240.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
525,10,Composting,"Kitchen and garden organic waste converted into compost",60.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
526,1,Recycling,"PET bottles shredded and reused",39.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
527,2,Incineration,"Biomedical waste incinerated safely",170.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
528,3,Landfill,"Construction debris safely deposited",48.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
529,4,"Anaerobic Digestion","Vegetable waste converted to biogas",80.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
530,5,Shredding,"Electronic boards shredded for recycling",70.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
531,6,Pyrolysis,"Waste tires converted into synthetic fuel",135.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
532,7,"Mechanical Recycling","Old newspapers recycled into paper sheets",33.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
533,8,"Chemical Treatment","Industrial sludge neutralized",245.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
534,9,Composting,"Organic farm waste converted into compost",62.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
535,10,Recycling,"Plastic containers shredded and reused",41.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
536,1,Incineration,"Medical waste safely burned",175.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
537,2,Landfill,"Non-biodegradable waste deposited",25.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
538,3,"Anaerobic Digestion","Cow dung converted to biogas and fertilizer",90.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
539,4,Shredding,"Electronic scrap shredded for resource recovery",73.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
540,5,Pyrolysis,"Plastic and rubber processed into fuel",138.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
541,6,"Mechanical Recycling","Cardboard boxes recycled into sheets",34.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
542,7,"Chemical Treatment","Hazardous chemicals treated and stabilized",250.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
543,8,Composting,"Organic food waste converted into compost",65.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
544,9,Recycling,"PET bottles shredded for reuse",42.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
545,10,Incineration,"Infectious waste incinerated",180.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
546,1,Landfill,"Bulky waste safely deposited",26.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
547,2,"Anaerobic Digestion","Vegetable and fruit waste converted into biogas",85.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
548,3,Shredding,"Electronic scrap shredded for materials",75.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
549,4,Pyrolysis,"Rubber and plastic converted to fuel",140.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
550,5,"Mechanical Recycling","Paper and cardboard processed mechanically",36.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
551,6,"Chemical Treatment","Industrial effluents chemically neutralized",255.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
552,7,Composting,"Garden waste processed into compost",64.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
553,8,Recycling,"Plastic bottles shredded and reused",43.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
554,9,Incineration,"Biomedical waste incinerated at high temperatures",185.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
555,10,Landfill,"Construction and demolition waste deposited",50.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
556,1,"Anaerobic Digestion","Food and farm waste converted to methane",92.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
557,2,Shredding,"Old electronics shredded for recovery",77.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
558,3,Pyrolysis,"Waste plastics converted into fuel",142.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
559,4,"Mechanical Recycling","Paper sheets produced from cardboard",38.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
560,5,"Chemical Treatment","Industrial hazardous sludge neutralized",260.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
561,6,Composting,"Organic waste from markets converted into compost",67.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
562,7,Recycling,"Plastic bottles and containers shredded",45.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
563,8,Incineration,"Biomedical waste incinerated safely",190.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
564,9,Landfill,"Non-recyclable waste deposited in landfill",27.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
565,10,"Anaerobic Digestion","Farm waste converted into biogas",95.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
566,1,Shredding,"Electronic scrap shredded for recovery",79.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
567,2,Pyrolysis,"Plastic and rubber waste processed to fuel",145.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
568,3,"Mechanical Recycling","Paper and cardboard recycled into sheets",40.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
569,4,"Chemical Treatment","Industrial sludge neutralized",265.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
570,5,Composting,"Organic garden waste converted into compost",69.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
571,6,Recycling,"Plastic bottles shredded for reuse",47.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
572,7,Incineration,"Infectious waste incinerated",195.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
573,8,Landfill,"Construction debris safely deposited",52.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
574,9,"Anaerobic Digestion","Organic waste processed to biogas",98.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
575,10,Shredding,"Old electronics shredded for materials recovery",82.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
576,1,Pyrolysis,"Waste tires converted to fuel",148.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
577,2,"Mechanical Recycling","Paper and cardboard recycled",42.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
578,3,"Chemical Treatment","Industrial sludge treated chemically",270.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
579,4,Composting,"Organic food waste converted into compost",71.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
580,5,Recycling,"Plastic packaging shredded and reused",49.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
581,6,Incineration,"Biomedical waste safely incinerated",200.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
582,7,Landfill,"Bulky non-recyclable waste deposited",55.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
583,8,"Anaerobic Digestion","Food waste converted to biogas",100.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
584,9,Shredding,"Electronics shredded for resource recovery",85.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
585,10,Pyrolysis,"Rubber and plastics converted into fuel",150.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
586,1,"Mechanical Recycling","Paper sheets recycled from waste",43.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
587,2,"Chemical Treatment","Industrial effluents treated chemically",275.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
588,3,Composting,"Garden waste converted into compost",73.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
589,4,Recycling,"Plastic bottles shredded for reuse",51.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
590,5,Incineration,"Medical waste incinerated safely",205.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
591,6,Landfill,"Construction debris deposited safely",57.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
592,7,"Anaerobic Digestion","Organic waste processed to methane",102.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
593,8,Shredding,"Electronic waste shredded for recovery",87.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
594,9,Pyrolysis,"Plastic and rubber converted to fuel",152.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
595,10,"Mechanical Recycling","Paper and cardboard recycled",45.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
596,1,"Chemical Treatment","Hazardous industrial waste neutralized",280.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
597,2,Composting,"Organic kitchen and garden waste converted",75.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
598,3,Recycling,"Plastic shredded for reuse",53.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
599,4,Incineration,"Biomedical waste incinerated safely",210.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
600,5,Landfill,"Non-recyclable waste deposited in landfill",60.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
601,6,"Anaerobic Digestion","Farm and food waste processed to biogas",105.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
602,7,Shredding,"Old electronics shredded for metals",90.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
603,8,Pyrolysis,"Waste plastics converted into fuel",155.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
604,9,"Mechanical Recycling","Paper and cardboard recycled mechanically",48.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
605,10,"Chemical Treatment","Industrial sludge treated chemically",285.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
606,1,Composting,"Organic market waste converted into compost",78.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
607,2,Recycling,"Plastic packaging shredded and reused",55.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
608,3,Incineration,"Hazardous waste incinerated",215.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
609,4,Landfill,"Construction debris safely deposited",62.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
610,5,"Anaerobic Digestion","Farm waste converted into biogas",108.00,"2025-10-13 15:43:15","2025-10-13 15:43:15"
